,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue
130,,17,119,6379,,9,95,4156,,9,95,7488
131,,9,170,6461,,10,122,7364,,10,122,7152
132,,16,147,5870,,13,104,4792,,13,104,6770
133,,27,109,5503,,19,115,5167,,19,115,6367
134,,18,164,4840,,11,137,3698,,11,137,5716
135,,38,195,5066,,20,166,5915,,20,166,5600
136,,5,256,4597,,11,199,3359,,11,199,5259
137,,19,374,4263,,18,250,3139,,18,250,5034
138,,9,379,4380,,17,277,5057,,17,277,4944
139,,12,470,3904,,9,329,3587,,9,329,4578
140,,18,578,3660,,19,409,2496,,19,409,4355
141,,26,720,4069,,20,510,3725,,20,510,4404
142,,13,792,3761,,17,614,2530,,17,574,4308
143,,16,762,4117,,25,900,4826,,25,648,4443
144,,25,928,3611,,22,685,3173,,22,719,4135
145,,23,1115,3904,,19,1213,4127,,19,873,4202
146,,22,1112,3542,,24,872,3406,,24,918,3952
147,,42,1106,3671,,33,1219,3387,,33,991,3931
148,,36,1453,3668,,30,1041,4788,,30,1148,4035
149,,30,1391,3423,,21,1103,2911,,21,1222,3916
150,,36,1755,3370,,33,1997,2656,,33,1420,3814
151,,47,1938,3214,,32,1903,3110,,32,1586,3681
152,,28,1992,3306,,27,2191,4400,,27,1687,3617
153,,23,2074,3046,,31,1735,3191,,31,1785,3403
154,,38,2391,3026,,27,2166,2422,,27,2066,3406
155,,37,2343,3042,,31,1920,2834,,31,2120,3296
156,,17,2758,2714,,28,2707,4672,,28,2320,3204
157,,39,2785,2328,,33,2636,2567,,33,2474,2841
158,,51,2845,2073,,32,2229,1582,,32,2523,2643
159,,30,3507,2336,,32,4157,1884,,32,3014,2663
160,,37,3550,1620,,37,3094,1276,,37,3040,2181
161,,49,3978,1546,,42,3688,1132,,42,3322,1998
162,,25,3959,1396,,37,3824,2022,,37,3481,1830
163,,33,4477,1060,,47,4491,238,,47,3816,1538
164,,60,4674,992,,57,4789,676,,57,4058,1397
165,,62,4748,862,,55,4653,307,,55,4250,1229
166,,34,5298,697,,46,5971,182,,46,4591,1036
167,,50,5448,530,,47,6776,191,,47,4802,857
168,,72,4920,538,,57,4234,201,,57,4766,762
169,,70,5692,527,,66,4702,561,,66,5119,722
170,,38,5756,427,,44,6534,290,,44,5291,629
171,,97,6103,452,,66,5722,155,,66,5508,583
172,,31,6456,385,,42,5074,367,,42,5749,523
173,,51,6819,270,,55,5846,432,,55,6087,414
174,,75,7061,197,,66,6798,107,,66,6378,352
175,,49,8394,203,,57,10496,13,,57,7320,260
176,,55,8298,196,,56,7540,41,,56,7414,254
177,,53,8469,66,,60,8883,0,,60,7683,175
178,,46,8897,39,,66,10937,0,,66,8023,103
179,,71,8675,44,,66,8783,0,,66,8116,74
180,,110,8676,8,,86,10931,0,,86,8347,60
181,,103,8588,9,,88,7867,0,,88,8336,36
182,,88,8224,8,,91,6985,0,,91,8137,32
183,,103,8433,13,,102,7593,0,,102,8272,22
184,,100,8492,5,,120,8325,0,,120,8327,14
185,,114,8860,9,,114,8681,0,,114,8351,16
186,,106,9097,0,,127,8232,0,,127,8471,7
187,,143,8821,2,,150,8418,0,,150,8577,7
188,,229,8975,0,,193,6459,0,,193,8632,6
189,,321,9916,0,,213,10083,0,,213,9156,2
190,,260,9945,0,,230,12298,0,,230,9335,3
191,,376,10389,0,,290,12059,0,,290,9896,3
192,,455,10068,0,,356,9209,0,,356,9758,4
193,,547,10165,0,,402,11937,0,,402,9964,0
194,,581,10446,0,,498,10025,0,,480,10230,1
195,,745,9974,0,,575,8478,0,,579,10105,0
196,,755,10541,0,,820,10112,0,,625,10582,0
197,,829,11222,0,,808,9747,0,,674,10830,0
198,,890,11232,0,,822,11970,0,,772,11151,0
199,,1032,11025,0,,1061,10324,0,,856,11153,0
200,,1059,11135,0,,806,12239,0,,897,11371,0
201,,1295,11238,0,,1032,11807,0,,1040,11234,0
202,,1218,11026,0,,1000,14775,0,,1077,11347,0
203,,1545,10573,0,,1202,12310,0,,1260,11105,0
204,,1562,9735,0,,1600,13240,0,,1340,10638,0
205,,1838,9254,0,,1718,11040,0,,1580,10218,0
206,,1733,8261,0,,1465,7429,0,,1570,9289,0
207,,2374,8381,0,,2077,12848,0,,1910,9284,0
208,,2205,6538,0,,2608,3711,0,,1994,7893,0
209,,2190,6519,0,,2182,5796,0,,1977,7543,0
210,,2420,6398,0,,2161,4936,0,,2181,7145,0
211,,2588,5817,0,,2688,5629,0,,2418,6693,0
212,,2786,5497,0,,2618,4149,0,,2464,6305,0
213,,2905,5110,0,,2570,4552,0,,2631,6009,0
214,,3414,4869,0,,4005,4141,0,,2975,5536,0
215,,3411,4895,0,,2664,4707,0,,2992,5461,0
216,,3895,4965,0,,3611,4043,0,,3341,5468,0
217,,3994,5043,0,,3542,5358,0,,3576,5435,0
218,,4334,4599,0,,4439,3992,0,,3875,5106,0
219,,4562,4536,0,,4696,5671,0,,4082,5118,0
220,,4908,4224,0,,5665,3693,0,,4405,4900,0
221,,4970,3866,0,,4152,5461,0,,4635,4612,0
222,,5300,3554,0,,5400,2616,0,,4829,4319,0
223,,6213,3617,0,,8522,3916,0,,5496,4268,0
224,,5534,3282,0,,4741,2733,0,,5329,3855,0
225,,5985,3261,0,,5878,3283,0,,5595,3731,0
226,,6033,3098,0,,4978,3383,0,,5729,3588,0
227,,6642,2822,0,,6433,3728,0,,6022,3391,0
228,,7002,2705,0,,6229,3090,0,,6398,3219,0
229,,7073,2360,0,,6354,1446,0,,6605,2919,0
230,,7705,2369,0,,7621,2277,0,,7055,2817,0
231,,7950,2218,0,,9096,2297,0,,7305,2645,0
232,,8064,1945,0,,8676,2430,0,,7685,2492,0
233,,8192,1681,0,,9812,1253,0,,7772,2229,0
234,,8255,1668,0,,9410,1406,0,,8041,2040,0
235,,7935,1489,0,,7148,2233,0,,7887,1936,0
236,,8104,1274,0,,9598,678,0,,8153,1672,0
237,,7640,1074,0,,6520,942,0,,7999,1460,0
238,,7430,901,0,,6154,266,0,,7821,1255,0
239,,8143,807,0,,8402,440,0,,8212,1157,0
240,,7946,610,0,,6254,425,0,,7869,892,0
241,,7954,572,0,,7268,379,0,,8073,824,0
242,,8541,357,0,,7641,140,0,,8449,630,0
243,,8906,389,0,,8192,200,0,,8870,553,0
244,,8949,308,0,,8179,198,0,,9151,446,0
245,,9567,279,0,,9502,297,0,,9792,394,0
246,,10883,258,0,,9571,389,0,,10640,328,0
247,,11597,90,0,,12536,0,0,,11714,193,0
248,,11978,31,0,,12078,0,0,,12517,118,0
249,,12871,26,0,,13394,0,0,,13731,81,0
250,,14598,13,0,,14730,0,0,,15422,55,0
251,,16840,8,0,,16663,0,0,,17980,35,0
252,,23178,6,0,,23315,0,0,,24356,30,0
253,,22474,1,0,,24118,0,0,,24948,14,0
254,,31806,2,0,,34076,0,0,,34839,12,0
255,,140492,2,0,,144070,0,0,,145154,8,0
