Red,Green,Blue
974.0,160.0,53.0
261.0,32.0,15.0
283.0,33.0,21.0
354.0,55.0,23.0
415.0,43.0,26.0
476.0,60.0,27.0
575.0,63.0,32.0
656.0,82.0,35.0
748.0,94.0,34.0
892.0,104.0,41.0
998.0,97.0,44.0
1192.0,118.0,58.0
1442.0,128.0,82.0
1533.0,177.0,98.0
1838.0,187.0,104.0
1962.0,213.0,118.0
2330.0,245.0,139.0
2511.0,261.0,145.0
2801.0,308.0,164.0
3085.0,361.0,169.0
3352.0,403.0,201.0
3536.0,454.0,230.0
3822.0,503.0,245.0
4092.0,604.0,278.0
4309.0,716.0,358.0
4741.0,780.0,398.0
4934.0,936.0,500.0
5239.0,1030.0,489.0
5473.0,1231.0,653.0
5943.0,1329.0,742.0
6385.0,1591.0,871.0
6920.0,1840.0,1028.0
7322.0,2117.0,1294.0
7547.0,2609.0,1579.0
8172.0,3064.0,2034.0
8507.0,3674.0,2311.0
9296.0,4398.0,2935.0
10008.0,5576.0,3674.0
10662.0,6915.0,4363.0
11558.0,8722.0,5395.0
12866.0,10869.0,6579.0
14395.0,13569.0,7781.0
15994.0,16792.0,9288.0
18314.0,20689.0,11124.0
20793.0,24657.0,12647.0
22858.0,28692.0,14462.0
25012.0,32174.0,16434.0
26676.0,35092.0,18100.0
27590.0,36700.0,19469.0
27847.0,36538.0,20749.0
27103.0,36094.0,21791.0
25750.0,33520.0,22623.0
23547.0,30135.0,22966.0
20285.0,26532.0,22988.0
17372.0,22053.0,22612.0
14292.0,18481.0,22319.0
11375.0,15178.0,20997.0
8987.0,11909.0,19739.0
6999.0,9327.0,18520.0
5371.0,7173.0,16785.0
4113.0,5740.0,15648.0
3056.0,4546.0,14353.0
2351.0,3643.0,13287.0
1842.0,2977.0,11953.0
1457.0,2343.0,11221.0
1274.0,1945.0,10488.0
939.0,1684.0,9642.0
699.0,1413.0,9262.0
636.0,1197.0,8496.0
494.0,999.0,7911.0
438.0,862.0,7374.0
345.0,672.0,6749.0
315.0,643.0,5848.0
218.0,479.0,5360.0
220.0,464.0,4773.0
178.0,387.0,4074.0
161.0,335.0,3569.0
107.0,293.0,3061.0
104.0,247.0,2583.0
70.0,218.0,2176.0
68.0,190.0,1830.0
67.0,145.0,1523.0
43.0,156.0,1336.0
40.0,113.0,1110.0
23.0,111.0,1023.0
30.0,82.0,781.0
28.0,83.0,670.0
17.0,65.0,609.0
25.0,67.0,530.0
13.0,64.0,450.0
13.0,43.0,368.0
6.0,49.0,327.0
7.0,44.0,288.0
7.0,26.0,273.0
3.0,30.0,217.0
3.0,33.0,216.0
6.0,16.0,173.0
3.0,19.0,154.0
1.0,15.0,150.0
2.0,10.0,152.0
1.0,5.0,119.0
0.0,6.0,117.0
1.0,8.0,85.0
0.0,5.0,100.0
0.0,7.0,64.0
0.0,6.0,73.0
1.0,5.0,63.0
3.0,7.0,44.0
0.0,1.0,39.0
0.0,4.0,44.0
0.0,3.0,23.0
0.0,2.0,26.0
0.0,0.0,25.0
0.0,2.0,22.0
0.0,1.0,21.0
0.0,0.0,20.0
0.0,0.0,21.0
0.0,0.0,25.0
0.0,0.0,14.0
0.0,0.0,10.0
0.0,0.0,6.0
0.0,1.0,8.0
0.0,0.0,5.0
0.0,0.0,8.0
0.0,0.0,4.0
0.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,1.0
0.0,0.0,3.0
0.0,0.0,2.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
