Red,Green,Blue
0.0,0.0,8.0
0.0,0.0,3.0
0.0,0.0,11.0
0.0,0.0,12.0
0.0,0.0,10.0
0.0,0.0,19.0
0.0,0.0,24.0
0.0,0.0,70.0
0.0,0.0,118.0
0.0,0.0,135.0
0.0,1.0,85.0
0.0,9.0,87.0
0.0,42.0,142.0
0.0,43.0,162.0
0.0,58.0,150.0
0.0,56.0,143.0
15.0,42.0,133.0
42.0,25.0,144.0
40.0,21.0,152.0
36.0,26.0,195.0
44.0,37.0,202.0
43.0,50.0,258.0
29.0,42.0,248.0
27.0,45.0,265.0
21.0,73.0,257.0
18.0,64.0,282.0
22.0,54.0,264.0
30.0,32.0,291.0
19.0,29.0,270.0
26.0,16.0,376.0
28.0,14.0,395.0
27.0,22.0,469.0
41.0,48.0,505.0
56.0,49.0,553.0
38.0,62.0,723.0
27.0,70.0,794.0
33.0,111.0,964.0
35.0,97.0,1227.0
30.0,113.0,1555.0
17.0,91.0,2100.0
12.0,84.0,2653.0
12.0,69.0,3457.0
23.0,61.0,5435.0
26.0,55.0,7240.0
32.0,37.0,7260.0
39.0,27.0,9406.0
38.0,16.0,10542.0
61.0,22.0,11024.0
55.0,17.0,15988.0
64.0,21.0,10903.0
67.0,13.0,10795.0
70.0,14.0,12796.0
67.0,12.0,14795.0
82.0,38.0,12638.0
78.0,28.0,11206.0
54.0,35.0,15107.0
49.0,41.0,17351.0
38.0,31.0,16392.0
37.0,50.0,16008.0
35.0,45.0,16720.0
32.0,58.0,17116.0
21.0,62.0,18823.0
24.0,60.0,21194.0
12.0,65.0,17977.0
20.0,70.0,25182.0
16.0,78.0,17658.0
14.0,65.0,16821.0
12.0,50.0,18177.0
14.0,62.0,12980.0
18.0,51.0,13364.0
17.0,46.0,14436.0
19.0,45.0,14551.0
20.0,54.0,8903.0
17.0,64.0,10110.0
21.0,53.0,7019.0
20.0,53.0,9036.0
26.0,49.0,7380.0
24.0,55.0,6893.0
21.0,51.0,4513.0
22.0,66.0,4705.0
46.0,57.0,8038.0
37.0,49.0,4786.0
43.0,64.0,4554.0
46.0,55.0,4867.0
42.0,79.0,3996.0
43.0,69.0,3217.0
45.0,94.0,2515.0
42.0,119.0,2678.0
62.0,123.0,2737.0
50.0,146.0,1344.0
56.0,192.0,1234.0
56.0,216.0,592.0
62.0,281.0,328.0
62.0,358.0,259.0
46.0,814.0,378.0
46.0,569.0,331.0
44.0,966.0,362.0
26.0,674.0,924.0
28.0,851.0,20.0
26.0,895.0,19.0
17.0,1579.0,41.0
37.0,1580.0,119.0
27.0,1459.0,91.0
27.0,1227.0,3.0
36.0,1380.0,16.0
38.0,1895.0,0.0
27.0,1631.0,0.0
31.0,2517.0,0.0
37.0,2915.0,0.0
39.0,2853.0,0.0
27.0,3323.0,0.0
34.0,2970.0,0.0
48.0,4326.0,0.0
49.0,3870.0,0.0
52.0,5361.0,0.0
46.0,4508.0,0.0
54.0,4452.0,0.0
56.0,5375.0,0.0
46.0,7057.0,0.0
51.0,6330.0,0.0
50.0,6001.0,0.0
66.0,7624.0,0.0
78.0,7411.0,0.0
82.0,6874.0,0.0
84.0,6672.0,0.0
90.0,7543.0,0.0
109.0,6942.0,0.0
111.0,14091.0,0.0
124.0,6530.0,0.0
184.0,8763.0,0.0
140.0,7016.0,0.0
215.0,8820.0,0.0
222.0,7313.0,0.0
241.0,7366.0,0.0
229.0,7370.0,0.0
265.0,8497.0,0.0
235.0,8728.0,0.0
313.0,7103.0,0.0
334.0,8951.0,0.0
386.0,8206.0,0.0
496.0,9689.0,0.0
1182.0,9526.0,0.0
474.0,8946.0,0.0
749.0,17366.0,0.0
750.0,7817.0,0.0
824.0,9289.0,0.0
708.0,10882.0,0.0
648.0,11515.0,0.0
1130.0,9855.0,0.0
784.0,7748.0,0.0
749.0,8879.0,0.0
817.0,9831.0,0.0
1119.0,11677.0,0.0
1152.0,12614.0,0.0
1328.0,13957.0,0.0
1236.0,10712.0,0.0
1236.0,10676.0,0.0
1520.0,9446.0,0.0
2173.0,8985.0,0.0
2643.0,11043.0,0.0
1529.0,4585.0,0.0
1696.0,7426.0,0.0
2117.0,5230.0,0.0
1934.0,6232.0,0.0
3331.0,5058.0,0.0
2688.0,4400.0,0.0
2925.0,5039.0,0.0
2661.0,4656.0,0.0
4538.0,3769.0,0.0
3077.0,4024.0,0.0
3367.0,3329.0,0.0
3361.0,4568.0,0.0
3994.0,5028.0,0.0
5597.0,2525.0,0.0
3964.0,3902.0,0.0
6476.0,4090.0,0.0
4888.0,2386.0,0.0
6571.0,2913.0,0.0
6627.0,3137.0,0.0
8144.0,3680.0,0.0
6376.0,2985.0,0.0
8495.0,2321.0,0.0
7972.0,1351.0,0.0
9753.0,1993.0,0.0
7232.0,1802.0,0.0
7451.0,1877.0,0.0
6224.0,1105.0,0.0
7660.0,2027.0,0.0
5986.0,910.0,0.0
6108.0,1015.0,0.0
7288.0,569.0,0.0
10473.0,848.0,0.0
7381.0,262.0,0.0
8916.0,717.0,0.0
9300.0,427.0,0.0
9566.0,164.0,0.0
10107.0,44.0,0.0
8524.0,156.0,0.0
14283.0,36.0,0.0
12889.0,163.0,0.0
13947.0,186.0,0.0
10790.0,0.0,0.0
11366.0,1.0,0.0
12962.0,0.0,0.0
9359.0,0.0,0.0
11403.0,0.0,0.0
10622.0,0.0,0.0
22224.0,0.0,0.0
12527.0,0.0,0.0
11963.0,0.0,0.0
10271.0,0.0,0.0
8403.0,0.0,0.0
10269.0,0.0,0.0
6538.0,0.0,0.0
9225.0,0.0,0.0
7212.0,0.0,0.0
8133.0,0.0,0.0
6245.0,0.0,0.0
6990.0,0.0,0.0
5605.0,0.0,0.0
4641.0,0.0,0.0
6265.0,0.0,0.0
4611.0,0.0,0.0
7841.0,0.0,0.0
3390.0,0.0,0.0
3630.0,0.0,0.0
3834.0,0.0,0.0
2785.0,0.0,0.0
3814.0,0.0,0.0
2914.0,0.0,0.0
3484.0,0.0,0.0
1968.0,0.0,0.0
2028.0,0.0,0.0
1881.0,0.0,0.0
2655.0,0.0,0.0
1898.0,0.0,0.0
1264.0,0.0,0.0
994.0,0.0,0.0
1238.0,0.0,0.0
1763.0,0.0,0.0
305.0,0.0,0.0
590.0,0.0,0.0
531.0,0.0,0.0
362.0,0.0,0.0
45.0,0.0,0.0
188.0,0.0,0.0
53.0,0.0,0.0
61.0,0.0,0.0
212.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
