Red,Green,Blue
349.0,0.0,0.0
334.0,0.0,0.0
199.0,0.0,0.0
193.0,0.0,0.0
120.0,0.0,0.0
123.0,0.0,0.0
113.0,0.0,0.0
91.0,0.0,0.0
74.0,0.0,0.0
51.0,0.0,0.0
17.0,0.0,0.0
