original_picture5,Red,Green,Blue,,Red2-4,Red2-5,Blue2-4,Blue2-5,,Red2-5ê≥ãKâª,Red2-4ê≥ãKâª,Blue2-5ê≥ãKâª,Blue2-4ê≥ãKâª
103,16,1535,450,,0,0,0,100,,0,0,0,7631
104,27,1735,409,,0,0,0,64,,20793,0,18520,0
105,22,1846,316,,0,0,0,73,,0,21120,16785,6482
106,25,2040,257,,0,1,1,63,,0,0,0,0
107,16,2225,212,,0,3,0,44,,22858,0,15648,5504
108,29,2526,172,,0,0,0,39,,0,17315,0,0
109,38,2682,131,,0,0,0,44,,25012,0,14353,4531
110,33,2897,123,,0,0,0,23,,0,0,0,0
111,43,3174,111,,0,0,0,26,,0,13936,13287,0
112,48,3456,73,,0,0,1,25,,26676,0,0,3806
113,37,3710,68,,0,0,0,22,,0,0,11953,0
114,46,3927,39,,0,0,0,21,,27590,10595,11221,3032
115,51,4339,26,,0,0,0,20,,0,0,0,0
116,50,4521,29,,0,0,1,21,,27847,0,10488,2488
117,58,4926,18,,0,0,0,25,,0,7947,0,0
118,71,5258,12,,0,0,0,14,,0,0,9642,1970
119,67,5430,8,,0,0,0,10,,27103,0,0,0
120,85,5838,11,,0,0,0,6,,0,0,9262,1565
121,82,5991,6,,0,0,0,8,,25750,5778,0,0
122,108,6294,3,,0,0,0,5,,0,0,8496,0
123,100,6502,4,,0,0,0,8,,23547,0,7911,1247
124,114,6834,3,,0,0,0,4,,0,4319,0,0
125,112,7080,2,,0,0,0,2,,0,0,7374,1024
126,137,7402,2,,0,0,0,3,,20285,0,0,0
127,155,7411,1,,0,0,0,3,,0,2995,6749,785
128,163,7652,0,,0,0,0,1,,17372,0,0,0
129,184,7935,2,,0,0,0,3,,0,0,5848,653
130,190,8022,0,,0,0,0,2,,0,2204,0,0
131,240,8156,0,,0,0,0,0,,14292,0,5360,502
132,242,8288,0,,0,0,0,1,,0,0,4773,0
133,281,8160,0,,0,0,0,3,,11375,1597,0,0
134,253,8456,0,,0,0,0,3,,0,0,4074,399
135,298,8112,0,,0,0,0,0,,8987,0,0,0
136,320,8327,0,,0,0,0,1,,0,0,3569,343
137,412,8434,0,,0,0,0,0,,0,1187,0,0
138,374,8467,0,,0,0,0,0,,6999,0,3061,263
139,447,8546,0,,0,0,0,1,,0,0,0,0
140,512,8963,0,,0,0,0,0,,5371,914,2583,209
141,555,8967,0,,0,0,0,1,,0,0,2176,0
142,590,9295,0,,0,0,0,1,,4113,0,0,163
143,623,9437,0,,0,0,0,0,,0,682,1830,0
144,667,9571,0,,0,0,0,0,,0,0,0,0
145,711,10016,0,,0,0,0,0,,3056,0,1523,137
146,812,9971,0,,0,0,0,0,,0,596,0,0
147,832,10101,0,,0,0,0,0,,2351,0,1336,109
148,926,10094,0,,0,0,0,0,,0,0,0,0
149,889,10058,0,,0,0,0,0,,0,451,1110,79
150,950,9993,0,,0,0,0,0,,1842,0,1023,0
151,979,10278,0,,0,0,0,0,,0,0,0,75
152,1110,10157,0,,0,0,0,0,,1457,0,781,0
153,1180,10051,0,,0,0,0,0,,0,373,0,52
154,1265,10197,0,,0,0,0,0,,1274,0,670,0
155,1370,10016,0,,0,0,0,0,,0,0,0,0
156,1486,9513,0,,0,0,0,0,,0,307,609,32
157,1521,9336,0,,0,0,0,0,,939,0,0,0
158,1661,8847,0,,0,0,0,0,,0,0,530,38
159,1854,8472,0,,0,0,0,0,,699,238,450,0
160,1848,8004,0,,0,0,0,0,,0,0,0,30
161,2052,7701,0,,0,0,0,0,,0,0,368,0
162,2217,7240,0,,0,0,0,0,,636,223,0,26
163,2289,6853,0,,0,0,0,0,,0,0,327,0
164,2466,6359,0,,0,0,0,0,,494,0,0,24
165,2613,5876,0,,0,0,0,0,,0,145,288,0
166,2629,5721,0,,0,0,0,0,,438,0,0,0
167,2968,5459,0,,0,0,0,0,,0,0,273,19
168,3119,5270,0,,0,0,0,0,,0,128,217,0
169,3339,4959,0,,0,0,0,0,,345,0,0,12
170,3428,4882,0,,0,0,0,0,,0,0,216,0
171,3753,4637,0,,0,0,0,0,,315,0,0,9
172,3952,4491,0,,0,0,0,0,,0,90,173,0
173,4165,4308,0,,0,0,0,0,,218,0,0,11
174,4547,4051,0,,0,0,0,0,,0,0,154,0
175,4835,3928,0,,0,0,0,0,,0,77,150,2
176,5253,3689,0,,0,0,0,0,,220,0,0,0
177,5415,3626,0,,0,0,0,0,,0,0,152,0
178,5760,3416,0,,0,0,0,0,,178,62,0,11
179,6200,3225,0,,0,0,0,0,,0,0,119,0
180,6375,3166,0,,0,0,0,0,,0,0,0,6
181,6702,2978,0,,0,0,0,0,,161,59,117,0
182,6989,2775,0,,0,0,0,0,,0,0,0,5
183,7240,2569,0,,0,0,0,0,,107,0,85,0
184,7402,2302,0,,0,0,0,0,,0,43,100,3
185,7351,2269,0,,0,0,0,0,,104,0,0,0
186,7389,2083,0,,0,0,0,0,,0,0,64,3
187,7446,1879,0,,0,0,0,0,,0,0,0,0
188,7453,1682,0,,0,0,0,0,,70,37,73,0
189,7689,1568,0,,0,0,0,0,,0,0,0,0
190,7926,1421,0,,0,0,0,0,,68,0,63,0
191,7760,1286,0,,0,0,0,0,,0,23,0,0
192,8026,1141,0,,0,0,0,0,,0,0,44,0
193,8457,1045,0,,0,0,0,0,,67,0,39,0
194,8797,859,0,,0,0,0,0,,0,22,0,0
195,9038,797,0,,0,0,0,0,,43,0,44,0
196,9586,649,0,,0,0,0,0,,0,0,0,0
197,10113,518,0,,0,0,0,0,,40,15,23,0
198,10428,486,0,,0,0,0,0,,0,0,0,0
199,10719,404,0,,0,0,0,0,,0,0,26,0
200,11172,329,0,,0,0,0,0,,23,11,0,0
201,11554,300,0,,0,0,0,0,,0,0,25,0
202,11450,226,0,,0,0,0,0,,30,0,22,1
203,11560,226,0,,0,0,0,0,,0,0,0,0
204,11563,180,0,,0,0,0,0,,28,8,21,1
205,11348,126,0,,0,0,0,0,,0,0,0,0
206,11641,117,0,,0,0,0,0,,0,0,20,1
207,11647,64,0,,0,0,0,0,,17,4,0,0
